Name	Gender	Age	Birth Date	Phone Number	E-mail
Johnson, Steve	M	45	5 Jan 1980	801-555-1212	steve.johnson@msn.net
Johnson, Sissy	F	43	12 Mar 1982		sissy.johnson@msn.net
Smith, Tommy	M	50	20 Jun 1975	801-555-2222	chevyguy@gmail.com
Smith, Eva	F	48	15 Aug 1977		eva.smith@gmail.com
Smith, Eddie	M	16	10 May 2009		eddie.smith@gmail.com
Smith, Bill	M	55	3 Nov 1970	801-555-3333
Wilson, Michael	M	42	8 Jul 1983	801-555-6000	michael@gmail.com
Wilson, Chrissy	F	40	22 Sep 1985		chrissy@gmail.com
Wilson, Madison	F	18	14 Jan 2007
Wilson, Mitch	M	16	5 Apr 2009
Wilson, Danny	M	16	18 Oct 2009
Wilson, July	F	14	2 Jul 2011
Wilson, Autumn	F	14	30 Oct 2011
Wilson, Zade	M	13	19 Feb 2012
Wilson, Ava	F	11	8 Jun 2014
Wilson, Vivie	F	9	25 Dec 2015
